08_D資料參數
位址,中文名稱,English,分類,用途,備註
D1104,X橫移_目的位置No,X traverse target position No.,流程資料,INT,X橫移命令目標位置，避免D1102語意混用。
D4410,軸2_上位目標,Axis2 upper target,軸2定位,DINT,X升降上位。
D4412,軸2_儲存盒取位目標,Axis2 storage pick target,軸2定位,DINT,依實測。
D4414,軸2_儲存盒放位目標,Axis2 storage place target,軸2定位,DINT,依實測。
D4416,軸2_檢查位取位目標,Axis2 inspection pick target,軸2定位,DINT,依實測。
D4418,軸2_檢查位放位目標,Axis2 inspection place target,軸2定位,DINT,依實測。
D4420,軸2_上機盒取位目標,Axis2 load pick target,軸2定位,DINT,依實測。
D4422,軸2_上機盒放位目標,Axis2 load place target,軸2定位,DINT,依實測。
D4424,軸2_共用真空確認位目標,Axis2 common vacuum check target,軸2定位,DINT,取片後上升約10mm位置；若各位置不同，需拆成三組高度。
D4432,軸2_上位誤差,Axis2 upper position error,軸2誤差,DINT,ABS(目前位置-D4410)。
D4434,軸2_儲存盒取位誤差,Axis2 storage pick error,軸2誤差,DINT,ABS(目前位置-D4412)。
D4436,軸2_儲存盒放位誤差,Axis2 storage place error,軸2誤差,DINT,ABS(目前位置-D4414)。
D4438,軸2_檢查位取位誤差,Axis2 inspection pick error,軸2誤差,DINT,ABS(目前位置-D4416)。
D4440,軸2_檢查位放位誤差,Axis2 inspection place error,軸2誤差,DINT,ABS(目前位置-D4418)。
D4442,軸2_上機盒取位誤差,Axis2 load pick error,軸2誤差,DINT,ABS(目前位置-D4420)。
D4444,軸2_上機盒放位誤差,Axis2 load place error,軸2誤差,DINT,ABS(目前位置-D4422)。
D4446,軸2_真空確認位誤差,Axis2 vacuum check error,軸2誤差,DINT,ABS(目前位置-D4424)。
D6004,目前警報碼,Current alarm code,Alarm,INT,HMI Alarm Detail顯示。
D6006,目前異常Step,Current fault step,Alarm,INT,異常發生時保存S/D6401。
D6008,目前異常軸號,Current fault axis,Alarm,INT,0共用、1軸1、2軸2、3軸3、4軸4。
D6010,目前異常料態,Current fault material state,Alarm,INT,保存D6100。
D6020,Move Timeout設定,Move timeout setting,Timeout,INT,所有定位逾時基準，可依軸另外覆寫。
D6022,Grip Timeout設定,Grip timeout setting,Timeout,INT,夾爪開/關到位逾時。
D6024,Vacuum Build Timeout設定,Vacuum build timeout setting,Timeout,INT,真空建立逾時。
D6026,Vacuum Release Timeout設定,Vacuum release timeout setting,Timeout,INT,破真空逾時。
D6028,Z Handshake Timeout設定,Z handshake timeout setting,Timeout,INT,等待M6102/M6103逾時。
D6101,人工料態設定值,Manual material state set value,Material,INT,需Engineer權限、M6030 Apply、二次確認，Auto Busy禁止。
D4551,軸3_Platform位誤差,Axis3 platform error,Z升降誤差,DINT,ABS(目前位置-D4514)。
D4552,軸3_Barcode位誤差,Axis3 barcode position error,Z升降誤差,DINT,ABS(目前位置-D4510)。
D4553,軸3_Home/安全位誤差,Axis3 home safe error,Z升降誤差,DINT,ABS(目前位置-D4512)。
D4710,軸4_0度位置,Axis4 0 degree position,Z旋轉,DINT,手動調機用。
D4712,軸4_90度位置,Axis4 90 degree position,Z旋轉,DINT,手動調機用。
D4714,軸4_180度位置,Axis4 180 degree position,Z旋轉,DINT,手動調機用。
D4716,軸4_270度位置,Axis4 270 degree position,Z旋轉,DINT,手動調機用。
D6500,Visual結果,Visual inspection result,目視檢查,INT,0未判定、1 OK、2 NG、3 BYPASS。
D6502,Visual NG原因碼,Visual NG reason code,目視檢查,INT,人工選擇或輸入NG原因。
D6600,Cycle完成狀態,Cycle complete status,流程完成,INT,0未完成、1可開門、2等盒蓋關閉、3破真空中、4等取盒、5完成。
