位址,名稱,方向,Normal State,Active Level,NPN/PNP/接點,COM,Terminal,Cable/Drawing Ref,設計說明
X0024,上機盒在席定位,DI,ON=盒在席,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0024,待畫圖,盒在席，不等於盒內光罩存在。
X0025,上機盒開蓋定位,DI,ON=開蓋到位,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0025,待畫圖,上機盒開蓋。
X0026,光罩在席定位,DI,ON=檢查站有光罩,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0026,待畫圖,檢查站光罩存在實體輸入。
X0027,X軸手臂真空OK,DI,ON=吸附成立,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0027,待畫圖,手臂吸附確認。
X0030,儲存盒真空OK,DI,ON=真空成立,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0030,待畫圖,儲存盒光罩存在由真空OK+流程狀態推導。
X0031,上機盒真空OK,DI,ON=真空成立,24V ON,NPN輸入/漏型PLC,DI-COM1,TB-X0031,待畫圖,上機盒光罩存在由真空OK+流程狀態推導。
X0032,靜電消除器檢查,DI,ON=Check,24V ON,NPN輸入/漏型PLC,DI-COM2,TB-X0032,待畫圖,警告。
X0033,靜電消除器異常,DI,ON=Alarm,24V ON,NPN輸入/漏型PLC,DI-COM2,TB-X0033,待畫圖,停機。
X0034,排風壓差低,DI,ON=Low,乾接點/24V回路,DI-COM2,TB-X0034,待畫圖,Dwyer壓差表警報回授。
X0035,排風壓差高,DI,ON=High,乾接點/24V回路,DI-COM2,TB-X0035,待畫圖,Dwyer壓差表警報回授。
X0036,FFU運轉中,DI,ON=Run,24V ON,NPN輸入/漏型PLC,DI-COM2,TB-X0036,待畫圖,若FFU有Run接點才接。
X0037,FFU異常,DI,ON=Alarm,24V ON,NPN輸入/漏型PLC,DI-COM2,TB-X0037,待畫圖,若FFU有Alarm接點才接。
X0040,EMO1,DI,ON=EMO正常/輔助接點,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0040,待畫圖,PLC監看用，不取代安全迴路。
X0041,EMO2,DI,ON=EMO正常/輔助接點,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0041,待畫圖,PLC監看用。
X0042,EMO3,DI,ON=EMO正常/輔助接點,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0042,待畫圖,PLC監看用。
X0043,EMO4,DI,ON=EMO正常/輔助接點,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0043,待畫圖,PLC監看用。
Y0000,安全繼電器復歸,DO,瞬時ON,24V OUT,晶體輸出,DO-COM0,TB-Y0000,待畫圖,Safety Reset Request後瞬時輸出。
Y0001,X軸升降煞車,DO,ON=釋放煞車,24V OUT,晶體輸出+Relay建議,DO-COM0,TB-Y0001,待畫圖,Z/垂直軸需與伺服Ready互鎖。
Y0002,Z軸升降煞車,DO,ON=釋放煞車,24V OUT,晶體輸出+Relay建議,DO-COM0,TB-Y0002,待畫圖,Z升降垂直軸。
Y0003,X軸橫移伺服電源,DO,ON=MC吸合,24V OUT,晶體輸出+Relay/接觸器,DO-COM0,TB-Y0003,待畫圖,伺服電源接觸器。
Y0004,X軸升降伺服電源,DO,ON=MC吸合,24V OUT,晶體輸出+Relay/接觸器,DO-COM0,TB-Y0004,待畫圖,伺服電源接觸器。
Y0005,Z軸升降伺服電源,DO,ON=MC吸合,24V OUT,晶體輸出+Relay/接觸器,DO-COM0,TB-Y0005,待畫圖,伺服電源接觸器。
Y0006,Z軸旋轉伺服電源,DO,ON=MC吸合,24V OUT,晶體輸出+Relay/接觸器,DO-COM0,TB-Y0006,待畫圖,伺服電源接觸器。
Y0007,X軸左右氣缸電磁閥_開,DO,ON=開,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0007,待畫圖,依電磁閥線圈電流確認。
Y0010,X軸左右氣缸電磁閥_關,DO,ON=關,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0010,待畫圖
Y0011,檢查站左右電磁閥_開,DO,ON=開,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0011,待畫圖
Y0012,檢查站左右電磁閥_關,DO,ON=關,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0012,待畫圖
Y0013,檢查站前後電磁閥_開,DO,ON=開,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0013,待畫圖
Y0014,檢查站前後電磁閥_關,DO,ON=關,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0014,待畫圖
Y0015,X軸手臂真空ON,DO,ON=真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0015,待畫圖,異常時是否保持依Fault Matrix。
Y0016,X軸手臂破真空,DO,ON=破真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0016,待畫圖
Y0017,儲存盒真空ON,DO,ON=真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0017,待畫圖
Y0020,儲存盒破真空,DO,ON=破真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0020,待畫圖
Y0021,上機盒真空ON,DO,ON=真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0021,待畫圖
Y0022,上機盒破真空,DO,ON=破真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM1,TB-Y0022,待畫圖
Y0023,靜電消除器停止,DO,ON=停止/Disable,24V OUT/乾接點依手冊,需確認DTY-ELK01,DO-COM2,TB-Y0023,待畫圖,依實際接線確認Enable或Stop語意。
Y0024,FFU電源ON,DO,ON=FFU供電,24V OUT,驅動接觸器,DO-COM2,TB-Y0024,待畫圖,不可直接切AC負載。
Y0034,三色燈-紅,DO,ON=紅燈,24V OUT,晶體輸出可直驅,DO-COM2,TB-Y0034,待畫圖
Y0035,三色燈-黃,DO,ON=黃燈,24V OUT,晶體輸出可直驅,DO-COM2,TB-Y0035,待畫圖
Y0036,三色燈-綠,DO,ON=綠燈,24V OUT,晶體輸出可直驅,DO-COM2,TB-Y0036,待畫圖
Y0037,三色燈-蜂鳴器,DO,ON=蜂鳴,24V OUT,晶體輸出可直驅,DO-COM2,TB-Y0037,待畫圖
X0044,Z檢查站_左右定位伸出完成,DI,ON=伸出完成,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0044,待畫圖,左右2支定位氣缸伸出回授串/並接後進PLC；兩支皆伸出才ON。
X0045,Z檢查站_左右定位縮回完成,DI,ON=縮回完成,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0045,待畫圖,左右2支定位氣缸縮回完成。
X0046,Z檢查站_前後定位伸出完成,DI,ON=伸出完成,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0046,待畫圖,前後2支定位氣缸伸出完成。
X0047,Z檢查站_前後定位縮回完成,DI,ON=縮回完成,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0047,待畫圖,前後2支定位氣缸縮回完成。
X0050,安全門_關閉回授,DI,ON=門關閉,安全輔助/24V,NPN輸入/漏型PLC,擴充DI-COM,TB-X0050,待畫圖,PLC監看用，安全功能仍走安全繼電器。
X0051,安全門_鎖定回授,DI,ON=門鎖定,安全輔助/24V,NPN輸入/漏型PLC,擴充DI-COM,TB-X0051,待畫圖,PLC監看門鎖狀態。
X0052,儲存盒盒蓋關閉,DI,ON=盒蓋關閉,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0052,待畫圖,完成流程後才允許儲存盒破真空/取盒。
X0053,上機盒盒蓋關閉,DI,ON=盒蓋關閉,24V ON,NPN輸入/漏型PLC,擴充DI-COM,TB-X0053,待畫圖,完成流程後才允許上機盒破真空/取盒。
Y0025,Z檢查站_左右定位電磁閥,DO,ON=定位伸出,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM2,TB-Y0025,待畫圖,控制左右2支定位氣缸，同組動作。
Y0026,Z檢查站_前後定位電磁閥,DO,ON=定位伸出,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM2,TB-Y0026,待畫圖,控制前後2支定位氣缸，同組動作。
Y0027,安全門解鎖請求,DO,ON=請求解鎖,24V OUT,至安全控制/門鎖控制,DO-COM2,TB-Y0027,待畫圖,PLC只送請求，不旁路安全。
Y0030,儲存盒破真空,DO,ON=破真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM2,TB-Y0030,待畫圖,盒蓋關閉後才允許。
Y0031,上機盒破真空,DO,ON=破真空,24V OUT,晶體輸出可直驅/需突波吸收,DO-COM2,TB-Y0031,待畫圖,盒蓋關閉後才允許。
